p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.4,0.87,0.26,0.58
0.4,0.87,0.28,0.5700000000000001
0.4,0.87,0.29,0.56
0.4,0.87,0.31,0.55
0.4,0.87,0.33,0.54
0.4,0.87,0.34,0.53
0.4,0.87,0.35000000000000003,0.52
0.4,0.87,0.37,0.51
0.4,0.87,0.38,0.5
0.4,0.88,0.24,0.59
0.4,0.88,0.26,0.58
0.4,0.88,0.28,0.5700000000000001
0.4,0.88,0.29,0.56
0.4,0.88,0.31,0.55
0.4,0.88,0.33,0.54
0.4,0.88,0.34,0.53
0.4,0.88,0.35000000000000003,0.52
0.4,0.88,0.37,0.51
0.4,0.88,0.38,0.5
0.4,0.89,0.24,0.59
0.4,0.89,0.26,0.58
0.4,0.89,0.28,0.5700000000000001
0.4,0.89,0.29,0.56
0.4,0.89,0.31,0.55
0.4,0.89,0.33,0.54
0.4,0.89,0.34,0.53
0.4,0.89,0.35000000000000003,0.52
0.4,0.89,0.37,0.51
0.4,0.89,0.38,0.5
0.4,0.9,0.24,0.59
0.4,0.9,0.26,0.58
0.4,0.9,0.28,0.5700000000000001
0.4,0.9,0.29,0.56
0.4,0.9,0.31,0.55
0.4,0.9,0.33,0.54
0.4,0.9,0.34,0.53
0.4,0.9,0.35000000000000003,0.52
0.4,0.9,0.37,0.51
0.4,0.9,0.38,0.5
0.4,0.91,0.24,0.59
0.4,0.91,0.26,0.58
0.4,0.91,0.28,0.5700000000000001
0.4,0.91,0.29,0.56
0.4,0.91,0.31,0.55
0.4,0.91,0.33,0.54
0.4,0.91,0.34,0.53
0.4,0.91,0.35000000000000003,0.52
0.4,0.91,0.37,0.51
0.4,0.91,0.38,0.5
0.4,0.92,0.26,0.58
0.4,0.92,0.28,0.5700000000000001
0.4,0.92,0.29,0.56
0.4,0.92,0.31,0.55
0.4,0.92,0.33,0.54
0.4,0.92,0.34,0.53
0.4,0.92,0.35000000000000003,0.52
0.4,0.92,0.37,0.51
0.4,0.92,0.38,0.5
0.4,0.93,0.26,0.58
0.4,0.93,0.28,0.5700000000000001
0.4,0.93,0.29,0.56
0.4,0.93,0.31,0.55
0.4,0.93,0.33,0.54
0.4,0.93,0.34,0.53
0.4,0.93,0.35000000000000003,0.52
0.4,0.93,0.37,0.51
0.4,0.93,0.38,0.5
0.4,0.9400000000000001,0.26,0.58
0.4,0.9400000000000001,0.28,0.5700000000000001
0.4,0.9400000000000001,0.29,0.56
0.4,0.9400000000000001,0.31,0.55
0.4,0.9400000000000001,0.33,0.54
0.4,0.9400000000000001,0.34,0.53
0.4,0.9400000000000001,0.35000000000000003,0.52
0.4,0.9400000000000001,0.37,0.51
0.4,0.9400000000000001,0.38,0.5
0.4,0.9500000000000001,0.26,0.58
0.4,0.9500000000000001,0.28,0.5700000000000001
0.4,0.9500000000000001,0.29,0.56
0.4,0.9500000000000001,0.31,0.55
0.4,0.9500000000000001,0.33,0.54
0.4,0.9500000000000001,0.34,0.53
0.4,0.9500000000000001,0.35000000000000003,0.52
0.4,0.9500000000000001,0.37,0.51
0.4,0.9500000000000001,0.38,0.5
0.4,0.96,0.26,0.58
0.4,0.96,0.28,0.5700000000000001
0.4,0.96,0.29,0.56
0.4,0.96,0.31,0.55
0.4,0.96,0.33,0.54
0.4,0.96,0.34,0.53
0.4,0.96,0.35000000000000003,0.52
0.4,0.96,0.37,0.51
0.4,0.96,0.38,0.5
0.4,0.97,0.26,0.58
0.4,0.97,0.28,0.5700000000000001
0.4,0.97,0.29,0.56
0.4,0.97,0.31,0.55
0.4,0.97,0.33,0.54
0.4,0.97,0.34,0.53
0.4,0.97,0.35000000000000003,0.52
0.4,0.97,0.37,0.51
0.4,0.97,0.38,0.5
0.4,0.98,0.26,0.58
0.4,0.98,0.28,0.5700000000000001
0.4,0.98,0.29,0.56
0.4,0.98,0.31,0.55
0.4,0.98,0.33,0.54
0.4,0.98,0.34,0.53
0.4,0.98,0.35000000000000003,0.52
0.4,0.98,0.37,0.51
0.4,0.98,0.38,0.5
0.4,0.99,0.28,0.5700000000000001
0.4,0.99,0.29,0.56
0.4,0.99,0.31,0.55
0.4,0.99,0.33,0.54
0.4,0.99,0.34,0.53
0.4,0.99,0.35000000000000003,0.52
0.4,0.99,0.37,0.51
0.4,0.99,0.38,0.5
0.4,1.0,0.28,0.5700000000000001
0.4,1.0,0.29,0.56
0.4,1.0,0.31,0.55
0.4,1.0,0.33,0.54
0.4,1.0,0.34,0.53
0.4,1.0,0.35000000000000003,0.52
0.4,1.0,0.37,0.51
0.4,1.0,0.38,0.5
0.41000000000000003,0.52,0.2,0.61
0.41000000000000003,0.52,0.2,0.62
0.41000000000000003,0.52,0.21,0.61
0.41000000000000003,0.52,0.21,0.62
0.41000000000000003,0.52,0.21,0.63
0.41000000000000003,0.52,0.22,0.6
0.41000000000000003,0.52,0.22,0.61
0.41000000000000003,0.52,0.22,0.62
0.41000000000000003,0.52,0.22,0.63
0.41000000000000003,0.52,0.22,0.64
0.41000000000000003,0.52,0.23,0.6
0.41000000000000003,0.52,0.23,0.61
0.41000000000000003,0.52,0.23,0.62
0.41000000000000003,0.52,0.23,0.63
0.41000000000000003,0.52,0.23,0.64
0.41000000000000003,0.52,0.24,0.59
0.41000000000000003,0.52,0.24,0.6
0.41000000000000003,0.52,0.24,0.61
0.41000000000000003,0.52,0.24,0.62
0.41000000000000003,0.52,0.24,0.63
0.41000000000000003,0.52,0.24,0.64
0.41000000000000003,0.52,0.24,0.65
0.41000000000000003,0.52,0.25,0.59
0.41000000000000003,0.52,0.25,0.6
0.41000000000000003,0.52,0.25,0.61
0.41000000000000003,0.52,0.25,0.62
0.41000000000000003,0.52,0.25,0.63
0.41000000000000003,0.52,0.25,0.64
0.41000000000000003,0.52,0.25,0.65
0.41000000000000003,0.52,0.25,0.66
0.41000000000000003,0.52,0.26,0.58
0.41000000000000003,0.52,0.26,0.59
0.41000000000000003,0.52,0.26,0.6
0.41000000000000003,0.52,0.26,0.61
0.41000000000000003,0.52,0.26,0.62
0.41000000000000003,0.52,0.26,0.63
0.41000000000000003,0.52,0.26,0.64
0.41000000000000003,0.52,0.26,0.65
0.41000000000000003,0.52,0.26,0.66
0.41000000000000003,0.52,0.26,0.67
0.41000000000000003,0.52,0.27,0.58
0.41000000000000003,0.52,0.27,0.59
0.41000000000000003,0.52,0.27,0.6
0.41000000000000003,0.52,0.27,0.61
0.41000000000000003,0.52,0.27,0.62
0.41000000000000003,0.52,0.27,0.63
0.41000000000000003,0.52,0.27,0.64
0.41000000000000003,0.52,0.27,0.65
0.41000000000000003,0.52,0.27,0.66
0.41000000000000003,0.52,0.27,0.67
0.41000000000000003,0.52,0.27,0.68
0.41000000000000003,0.52,0.28,0.5700000000000001
0.41000000000000003,0.52,0.28,0.58
0.41000000000000003,0.52,0.28,0.59
0.41000000000000003,0.52,0.28,0.6
0.41000000000000003,0.52,0.28,0.61
0.41000000000000003,0.52,0.28,0.62
0.41000000000000003,0.52,0.28,0.63
0.41000000000000003,0.52,0.28,0.64
0.41000000000000003,0.52,0.28,0.65
0.41000000000000003,0.52,0.28,0.66
0.41000000000000003,0.52,0.28,0.67
0.41000000000000003,0.52,0.28,0.68
0.41000000000000003,0.52,0.29,0.56
0.41000000000000003,0.52,0.29,0.5700000000000001
0.41000000000000003,0.52,0.29,0.58
0.41000000000000003,0.52,0.29,0.59
0.41000000000000003,0.52,0.29,0.6
0.41000000000000003,0.52,0.29,0.61
0.41000000000000003,0.52,0.29,0.62
0.41000000000000003,0.52,0.29,0.63
0.41000000000000003,0.52,0.29,0.64
0.41000000000000003,0.52,0.29,0.65
0.41000000000000003,0.52,0.29,0.66
0.41000000000000003,0.52,0.29,0.67
0.41000000000000003,0.52,0.29,0.68
0.41000000000000003,0.52,0.3,0.56
0.41000000000000003,0.52,0.3,0.5700000000000001
0.41000000000000003,0.52,0.3,0.58
0.41000000000000003,0.52,0.3,0.59
0.41000000000000003,0.52,0.3,0.6
0.41000000000000003,0.52,0.3,0.61
0.41000000000000003,0.52,0.3,0.62
0.41000000000000003,0.52,0.3,0.63
0.41000000000000003,0.52,0.3,0.64
0.41000000000000003,0.52,0.3,0.65
0.41000000000000003,0.52,0.3,0.66
0.41000000000000003,0.52,0.3,0.67
0.41000000000000003,0.52,0.3,0.68
0.41000000000000003,0.52,0.31,0.55
0.41000000000000003,0.52,0.31,0.56
0.41000000000000003,0.52,0.31,0.5700000000000001
0.41000000000000003,0.52,0.31,0.58
0.41000000000000003,0.52,0.31,0.59
0.41000000000000003,0.52,0.31,0.6
0.41000000000000003,0.52,0.31,0.61
0.41000000000000003,0.52,0.31,0.62
0.41000000000000003,0.52,0.31,0.63
0.41000000000000003,0.52,0.31,0.64
0.41000000000000003,0.52,0.31,0.65
0.41000000000000003,0.52,0.31,0.66
0.41000000000000003,0.52,0.31,0.67
0.41000000000000003,0.52,0.31,0.68
0.41000000000000003,0.52,0.32,0.55
0.41000000000000003,0.52,0.32,0.56
0.41000000000000003,0.52,0.32,0.5700000000000001
0.41000000000000003,0.52,0.32,0.58
0.41000000000000003,0.52,0.32,0.59
0.41000000000000003,0.52,0.32,0.6
0.41000000000000003,0.52,0.32,0.61
0.41000000000000003,0.52,0.32,0.62
0.41000000000000003,0.52,0.32,0.63
0.41000000000000003,0.52,0.32,0.64
0.41000000000000003,0.52,0.32,0.65
0.41000000000000003,0.52,0.32,0.66
0.41000000000000003,0.52,0.32,0.67
0.41000000000000003,0.52,0.32,0.68
0.41000000000000003,0.52,0.33,0.54
0.41000000000000003,0.52,0.33,0.55
0.41000000000000003,0.52,0.33,0.56
0.41000000000000003,0.52,0.33,0.5700000000000001
0.41000000000000003,0.52,0.33,0.58
0.41000000000000003,0.52,0.33,0.59
0.41000000000000003,0.52,0.33,0.6
0.41000000000000003,0.52,0.33,0.61
0.41000000000000003,0.52,0.33,0.62
0.41000000000000003,0.52,0.33,0.63
0.41000000000000003,0.52,0.33,0.64
0.41000000000000003,0.52,0.33,0.65
0.41000000000000003,0.52,0.33,0.66
0.41000000000000003,0.52,0.33,0.67
0.41000000000000003,0.52,0.33,0.68
0.41000000000000003,0.52,0.34,0.53
0.41000000000000003,0.52,0.34,0.54
0.41000000000000003,0.52,0.34,0.55
0.41000000000000003,0.52,0.34,0.56
0.41000000000000003,0.52,0.34,0.5700000000000001
0.41000000000000003,0.52,0.34,0.58
0.41000000000000003,0.52,0.34,0.59
0.41000000000000003,0.52,0.34,0.6
0.41000000000000003,0.52,0.34,0.61
0.41000000000000003,0.52,0.34,0.62
0.41000000000000003,0.52,0.34,0.63
0.41000000000000003,0.52,0.34,0.64
0.41000000000000003,0.52,0.34,0.65
0.41000000000000003,0.52,0.34,0.66
0.41000000000000003,0.52,0.34,0.67
0.41000000000000003,0.52,0.34,0.68
0.41000000000000003,0.52,0.35000000000000003,0.52
0.41000000000000003,0.52,0.35000000000000003,0.53
0.41000000000000003,0.52,0.35000000000000003,0.54
0.41000000000000003,0.52,0.35000000000000003,0.55
0.41000000000000003,0.52,0.35000000000000003,0.56
0.41000000000000003,0.52,0.35000000000000003,0.5700000000000001
0.41000000000000003,0.52,0.35000000000000003,0.58
0.41000000000000003,0.52,0.35000000000000003,0.59
0.41000000000000003,0.52,0.35000000000000003,0.6
0.41000000000000003,0.52,0.35000000000000003,0.61
0.41000000000000003,0.52,0.35000000000000003,0.62
0.41000000000000003,0.52,0.35000000000000003,0.63
0.41000000000000003,0.52,0.35000000000000003,0.64
0.41000000000000003,0.52,0.35000000000000003,0.65
0.41000000000000003,0.52,0.35000000000000003,0.66
0.41000000000000003,0.52,0.35000000000000003,0.67
0.41000000000000003,0.52,0.35000000000000003,0.68
0.41000000000000003,0.52,0.36,0.52
0.41000000000000003,0.52,0.36,0.53
0.41000000000000003,0.52,0.36,0.54
0.41000000000000003,0.52,0.36,0.55
0.41000000000000003,0.52,0.36,0.56
0.41000000000000003,0.52,0.36,0.5700000000000001
0.41000000000000003,0.52,0.36,0.58
0.41000000000000003,0.52,0.36,0.59
0.41000000000000003,0.52,0.36,0.6
0.41000000000000003,0.52,0.36,0.61
0.41000000000000003,0.52,0.36,0.62
0.41000000000000003,0.52,0.36,0.63
0.41000000000000003,0.52,0.36,0.64
0.41000000000000003,0.52,0.36,0.65
0.41000000000000003,0.52,0.36,0.66
0.41000000000000003,0.52,0.36,0.67
0.41000000000000003,0.52,0.36,0.68
0.41000000000000003,0.52,0.37,0.51
0.41000000000000003,0.52,0.37,0.52
0.41000000000000003,0.52,0.37,0.53
0.41000000000000003,0.52,0.37,0.54
0.41000000000000003,0.52,0.37,0.55
0.41000000000000003,0.52,0.37,0.56
0.41000000000000003,0.52,0.37,0.5700000000000001
0.41000000000000003,0.52,0.37,0.58
0.41000000000000003,0.52,0.37,0.59
0.41000000000000003,0.52,0.37,0.6
0.41000000000000003,0.52,0.37,0.61
0.41000000000000003,0.52,0.37,0.62
0.41000000000000003,0.52,0.37,0.63
0.41000000000000003,0.52,0.37,0.64
0.41000000000000003,0.52,0.37,0.65
0.41000000000000003,0.52,0.37,0.66
0.41000000000000003,0.52,0.37,0.67
0.41000000000000003,0.52,0.37,0.68
0.41000000000000003,0.52,0.38,0.5
0.41000000000000003,0.52,0.38,0.51
0.41000000000000003,0.52,0.38,0.52
0.41000000000000003,0.52,0.38,0.53
0.41000000000000003,0.52,0.38,0.54
0.41000000000000003,0.52,0.38,0.55
0.41000000000000003,0.52,0.38,0.56
0.41000000000000003,0.52,0.38,0.5700000000000001
0.41000000000000003,0.52,0.38,0.58
0.41000000000000003,0.52,0.38,0.59
0.41000000000000003,0.52,0.38,0.6
0.41000000000000003,0.52,0.38,0.61
0.41000000000000003,0.52,0.38,0.62
0.41000000000000003,0.52,0.38,0.63
0.41000000000000003,0.52,0.38,0.64
0.41000000000000003,0.52,0.38,0.65
0.41000000000000003,0.52,0.38,0.66
0.41000000000000003,0.52,0.38,0.67
0.41000000000000003,0.52,0.38,0.68
0.41000000000000003,0.52,0.39,0.5
0.41000000000000003,0.52,0.39,0.51
0.41000000000000003,0.52,0.39,0.52
0.41000000000000003,0.52,0.39,0.53
0.41000000000000003,0.52,0.39,0.54
0.41000000000000003,0.52,0.39,0.55
0.41000000000000003,0.52,0.39,0.56
0.41000000000000003,0.52,0.39,0.5700000000000001
0.41000000000000003,0.52,0.39,0.58
0.41000000000000003,0.52,0.39,0.59
0.41000000000000003,0.52,0.39,0.6
0.41000000000000003,0.52,0.39,0.61
0.41000000000000003,0.52,0.39,0.62
0.41000000000000003,0.52,0.39,0.63
0.41000000000000003,0.52,0.39,0.64
0.41000000000000003,0.52,0.39,0.65
0.41000000000000003,0.52,0.39,0.66
0.41000000000000003,0.52,0.39,0.67
0.41000000000000003,0.52,0.39,0.68
0.41000000000000003,0.52,0.4,0.5
0.41000000000000003,0.52,0.4,0.51
0.41000000000000003,0.52,0.4,0.52
0.41000000000000003,0.52,0.4,0.53
0.41000000000000003,0.52,0.4,0.54
0.41000000000000003,0.52,0.4,0.55
0.41000000000000003,0.52,0.4,0.56
0.41000000000000003,0.52,0.4,0.5700000000000001
0.41000000000000003,0.52,0.4,0.58
0.41000000000000003,0.52,0.4,0.59
0.41000000000000003,0.52,0.4,0.6
0.41000000000000003,0.52,0.4,0.61
0.41000000000000003,0.52,0.4,0.62
0.41000000000000003,0.52,0.4,0.63
0.41000000000000003,0.52,0.4,0.64
0.41000000000000003,0.52,0.4,0.65
0.41000000000000003,0.52,0.4,0.66
0.41000000000000003,0.52,0.4,0.67
0.41000000000000003,0.52,0.4,0.68
0.41000000000000003,0.52,0.41000000000000003,0.5
0.41000000000000003,0.52,0.41000000000000003,0.51
0.41000000000000003,0.52,0.41000000000000003,0.52
0.41000000000000003,0.52,0.41000000000000003,0.53
0.41000000000000003,0.52,0.41000000000000003,0.54
0.41000000000000003,0.52,0.41000000000000003,0.55
0.41000000000000003,0.52,0.41000000000000003,0.56
0.41000000000000003,0.52,0.41000000000000003,0.5700000000000001
0.41000000000000003,0.52,0.41000000000000003,0.58
0.41000000000000003,0.52,0.41000000000000003,0.59
0.41000000000000003,0.52,0.41000000000000003,0.6
0.41000000000000003,0.52,0.41000000000000003,0.61
0.41000000000000003,0.52,0.41000000000000003,0.62
0.41000000000000003,0.52,0.41000000000000003,0.63
0.41000000000000003,0.52,0.41000000000000003,0.64
0.41000000000000003,0.52,0.41000000000000003,0.65
0.41000000000000003,0.52,0.41000000000000003,0.66
0.41000000000000003,0.52,0.41000000000000003,0.67
0.41000000000000003,0.52,0.41000000000000003,0.68
0.41000000000000003,0.52,0.42,0.5
0.41000000000000003,0.52,0.42,0.51
0.41000000000000003,0.52,0.42,0.52
0.41000000000000003,0.52,0.42,0.53
0.41000000000000003,0.52,0.42,0.54
0.41000000000000003,0.52,0.42,0.55
0.41000000000000003,0.52,0.42,0.56
0.41000000000000003,0.52,0.42,0.5700000000000001
0.41000000000000003,0.52,0.42,0.58
0.41000000000000003,0.52,0.42,0.59
0.41000000000000003,0.52,0.42,0.6
0.41000000000000003,0.52,0.42,0.61
0.41000000000000003,0.52,0.42,0.62
0.41000000000000003,0.52,0.42,0.63
0.41000000000000003,0.52,0.42,0.64
0.41000000000000003,0.52,0.42,0.65
0.41000000000000003,0.52,0.42,0.66
0.41000000000000003,0.52,0.42,0.67
0.41000000000000003,0.52,0.42,0.68
0.41000000000000003,0.52,0.43,0.5
0.41000000000000003,0.52,0.43,0.51
0.41000000000000003,0.52,0.43,0.52
0.41000000000000003,0.52,0.43,0.53
0.41000000000000003,0.52,0.43,0.54
0.41000000000000003,0.52,0.43,0.55
0.41000000000000003,0.52,0.43,0.56
0.41000000000000003,0.52,0.43,0.5700000000000001
0.41000000000000003,0.52,0.43,0.58
0.41000000000000003,0.52,0.43,0.59
0.41000000000000003,0.52,0.43,0.6
0.41000000000000003,0.52,0.43,0.61
0.41000000000000003,0.52,0.43,0.62
0.41000000000000003,0.52,0.43,0.63
0.41000000000000003,0.52,0.43,0.64
0.41000000000000003,0.52,0.43,0.65
0.41000000000000003,0.52,0.43,0.66
0.41000000000000003,0.52,0.43,0.67
0.41000000000000003,0.52,0.43,0.68
0.41000000000000003,0.52,0.44,0.5
0.41000000000000003,0.52,0.44,0.51
0.41000000000000003,0.52,0.44,0.52
0.41000000000000003,0.52,0.44,0.53
0.41000000000000003,0.52,0.44,0.54
0.41000000000000003,0.52,0.44,0.55
0.41000000000000003,0.52,0.44,0.56
0.41000000000000003,0.52,0.44,0.5700000000000001
0.41000000000000003,0.52,0.44,0.58
0.41000000000000003,0.52,0.44,0.59
0.41000000000000003,0.52,0.44,0.6
0.41000000000000003,0.52,0.44,0.61
0.41000000000000003,0.52,0.44,0.62
0.41000000000000003,0.52,0.44,0.63
0.41000000000000003,0.52,0.44,0.64
0.41000000000000003,0.52,0.44,0.65
0.41000000000000003,0.52,0.44,0.66
0.41000000000000003,0.52,0.44,0.67
0.41000000000000003,0.52,0.44,0.68
0.41000000000000003,0.52,0.45,0.5
0.41000000000000003,0.52,0.45,0.51
0.41000000000000003,0.52,0.45,0.52
0.41000000000000003,0.52,0.45,0.53
0.41000000000000003,0.52,0.45,0.54
0.41000000000000003,0.52,0.45,0.55
0.41000000000000003,0.52,0.45,0.56
0.41000000000000003,0.52,0.45,0.5700000000000001
0.41000000000000003,0.52,0.45,0.58
0.41000000000000003,0.52,0.45,0.59
0.41000000000000003,0.52,0.45,0.6
0.41000000000000003,0.52,0.45,0.61
0.41000000000000003,0.52,0.45,0.62
0.41000000000000003,0.52,0.45,0.63
0.41000000000000003,0.52,0.45,0.64
0.41000000000000003,0.52,0.45,0.65
0.41000000000000003,0.52,0.45,0.66
0.41000000000000003,0.52,0.45,0.67
0.41000000000000003,0.52,0.45,0.68
0.41000000000000003,0.52,0.46,0.51
0.41000000000000003,0.52,0.46,0.52
0.41000000000000003,0.52,0.46,0.53
0.41000000000000003,0.52,0.46,0.54
0.41000000000000003,0.52,0.46,0.55
0.41000000000000003,0.52,0.46,0.56
0.41000000000000003,0.52,0.46,0.5700000000000001
0.41000000000000003,0.52,0.46,0.58
0.41000000000000003,0.52,0.46,0.59
0.41000000000000003,0.52,0.46,0.6
0.41000000000000003,0.52,0.46,0.61
0.41000000000000003,0.52,0.46,0.62
0.41000000000000003,0.52,0.46,0.63
0.41000000000000003,0.52,0.46,0.64
0.41000000000000003,0.52,0.46,0.65
0.41000000000000003,0.52,0.46,0.66
0.41000000000000003,0.52,0.46,0.67
0.41000000000000003,0.52,0.46,0.68
0.41000000000000003,0.52,0.47000000000000003,0.52
0.41000000000000003,0.52,0.47000000000000003,0.53
0.41000000000000003,0.52,0.47000000000000003,0.54
0.41000000000000003,0.52,0.47000000000000003,0.55
0.41000000000000003,0.52,0.47000000000000003,0.56
0.41000000000000003,0.52,0.47000000000000003,0.5700000000000001
0.41000000000000003,0.52,0.47000000000000003,0.58
0.41000000000000003,0.52,0.47000000000000003,0.59
0.41000000000000003,0.52,0.47000000000000003,0.6
0.41000000000000003,0.52,0.47000000000000003,0.61
0.41000000000000003,0.52,0.47000000000000003,0.62
0.41000000000000003,0.52,0.47000000000000003,0.63
0.41000000000000003,0.52,0.47000000000000003,0.64
0.41000000000000003,0.52,0.47000000000000003,0.65
0.41000000000000003,0.52,0.47000000000000003,0.66
0.41000000000000003,0.52,0.47000000000000003,0.67
0.41000000000000003,0.52,0.47000000000000003,0.68
0.41000000000000003,0.52,0.48,0.53
0.41000000000000003,0.52,0.48,0.54
0.41000000000000003,0.52,0.48,0.55
0.41000000000000003,0.52,0.48,0.56
0.41000000000000003,0.52,0.48,0.5700000000000001
0.41000000000000003,0.52,0.48,0.58
0.41000000000000003,0.52,0.48,0.59
0.41000000000000003,0.52,0.48,0.6
0.41000000000000003,0.52,0.48,0.61
0.41000000000000003,0.52,0.48,0.62
0.41000000000000003,0.52,0.48,0.63
0.41000000000000003,0.52,0.48,0.64
0.41000000000000003,0.52,0.48,0.65
0.41000000000000003,0.52,0.48,0.66
0.41000000000000003,0.52,0.48,0.67
0.41000000000000003,0.52,0.48,0.68
0.41000000000000003,0.52,0.49,0.54
0.41000000000000003,0.52,0.49,0.55
0.41000000000000003,0.52,0.49,0.56
0.41000000000000003,0.52,0.49,0.5700000000000001
0.41000000000000003,0.52,0.49,0.58
0.41000000000000003,0.52,0.49,0.59
0.41000000000000003,0.52,0.49,0.6
0.41000000000000003,0.52,0.49,0.61
0.41000000000000003,0.52,0.49,0.62
0.41000000000000003,0.52,0.49,0.63
0.41000000000000003,0.52,0.49,0.64
0.41000000000000003,0.52,0.49,0.65
0.41000000000000003,0.52,0.49,0.66
0.41000000000000003,0.52,0.49,0.67
0.41000000000000003,0.52,0.49,0.68
0.41000000000000003,0.52,0.5,0.55
0.41000000000000003,0.52,0.5,0.56
0.41000000000000003,0.52,0.5,0.5700000000000001
0.41000000000000003,0.52,0.5,0.58
0.41000000000000003,0.52,0.5,0.59
0.41000000000000003,0.52,0.5,0.6
0.41000000000000003,0.52,0.5,0.61
0.41000000000000003,0.52,0.5,0.62
0.41000000000000003,0.52,0.5,0.63
0.41000000000000003,0.52,0.5,0.64
0.41000000000000003,0.52,0.5,0.65
0.41000000000000003,0.52,0.5,0.66
0.41000000000000003,0.52,0.5,0.67
0.41000000000000003,0.52,0.5,0.68
0.41000000000000003,0.52,0.51,0.56
0.41000000000000003,0.52,0.51,0.5700000000000001
0.41000000000000003,0.52,0.51,0.58
0.41000000000000003,0.52,0.51,0.59
0.41000000000000003,0.52,0.51,0.6
0.41000000000000003,0.52,0.51,0.61
0.41000000000000003,0.52,0.51,0.62
0.41000000000000003,0.52,0.51,0.63
0.41000000000000003,0.52,0.51,0.64
0.41000000000000003,0.52,0.51,0.65
0.41000000000000003,0.52,0.51,0.66
0.41000000000000003,0.52,0.51,0.67
0.41000000000000003,0.52,0.51,0.68
0.41000000000000003,0.52,0.52,0.5700000000000001
0.41000000000000003,0.52,0.52,0.58
0.41000000000000003,0.52,0.52,0.59
0.41000000000000003,0.52,0.52,0.6
0.41000000000000003,0.52,0.52,0.61
0.41000000000000003,0.52,0.52,0.62
0.41000000000000003,0.52,0.52,0.63
0.41000000000000003,0.52,0.52,0.64
0.41000000000000003,0.52,0.52,0.65
0.41000000000000003,0.52,0.52,0.66
0.41000000000000003,0.52,0.52,0.67
0.41000000000000003,0.52,0.52,0.68
0.41000000000000003,0.52,0.53,0.58
0.41000000000000003,0.52,0.53,0.59
0.41000000000000003,0.52,0.53,0.6
0.41000000000000003,0.52,0.53,0.61
0.41000000000000003,0.52,0.53,0.62
0.41000000000000003,0.52,0.53,0.63
0.41000000000000003,0.52,0.53,0.64
0.41000000000000003,0.52,0.53,0.65
0.41000000000000003,0.52,0.53,0.66
0.41000000000000003,0.52,0.53,0.67
0.41000000000000003,0.52,0.53,0.68
0.41000000000000003,0.52,0.54,0.59
0.41000000000000003,0.52,0.54,0.6
0.41000000000000003,0.52,0.54,0.61
0.41000000000000003,0.52,0.54,0.62
0.41000000000000003,0.52,0.54,0.63
0.41000000000000003,0.52,0.54,0.64
0.41000000000000003,0.52,0.54,0.65
0.41000000000000003,0.52,0.54,0.66
0.41000000000000003,0.52,0.54,0.67
0.41000000000000003,0.52,0.54,0.68
0.41000000000000003,0.52,0.55,0.59
0.41000000000000003,0.52,0.55,0.6
0.41000000000000003,0.52,0.55,0.61
0.41000000000000003,0.52,0.55,0.62
0.41000000000000003,0.52,0.55,0.63
0.41000000000000003,0.52,0.55,0.64
0.41000000000000003,0.52,0.55,0.65
0.41000000000000003,0.52,0.55,0.66
0.41000000000000003,0.52,0.55,0.67
0.41000000000000003,0.52,0.55,0.68
0.41000000000000003,0.52,0.56,0.6
0.41000000000000003,0.52,0.56,0.61
0.41000000000000003,0.52,0.56,0.62
0.41000000000000003,0.52,0.56,0.63
0.41000000000000003,0.52,0.56,0.64
0.41000000000000003,0.52,0.56,0.65
0.41000000000000003,0.52,0.56,0.66
0.41000000000000003,0.52,0.56,0.67
0.41000000000000003,0.52,0.56,0.68
0.41000000000000003,0.52,0.5700000000000001,0.61
0.41000000000000003,0.52,0.5700000000000001,0.62
0.41000000000000003,0.52,0.5700000000000001,0.63
0.41000000000000003,0.52,0.5700000000000001,0.64
0.41000000000000003,0.52,0.5700000000000001,0.65
0.41000000000000003,0.52,0.5700000000000001,0.66
0.41000000000000003,0.52,0.5700000000000001,0.67
0.41000000000000003,0.52,0.5700000000000001,0.68
0.41000000000000003,0.52,0.58,0.61
0.41000000000000003,0.52,0.58,0.62
0.41000000000000003,0.52,0.58,0.63
0.41000000000000003,0.52,0.58,0.64
0.41000000000000003,0.52,0.58,0.65
0.41000000000000003,0.52,0.58,0.66
0.41000000000000003,0.52,0.58,0.67
0.41000000000000003,0.52,0.58,0.68
0.41000000000000003,0.52,0.59,0.62
0.41000000000000003,0.52,0.59,0.63
0.41000000000000003,0.52,0.59,0.64
0.41000000000000003,0.52,0.59,0.65
0.41000000000000003,0.52,0.59,0.66
0.41000000000000003,0.52,0.59,0.67
0.41000000000000003,0.52,0.59,0.68
0.41000000000000003,0.52,0.6,0.63
0.41000000000000003,0.52,0.6,0.64
0.41000000000000003,0.52,0.6,0.65
0.41000000000000003,0.52,0.6,0.66
0.41000000000000003,0.52,0.6,0.67
0.41000000000000003,0.52,0.6,0.68
0.41000000000000003,0.52,0.61,0.63
0.41000000000000003,0.52,0.61,0.64
0.41000000000000003,0.52,0.61,0.65
0.41000000000000003,0.52,0.61,0.66
0.41000000000000003,0.52,0.61,0.67
0.41000000000000003,0.52,0.61,0.68
0.41000000000000003,0.52,0.62,0.64
0.41000000000000003,0.52,0.62,0.65
0.41000000000000003,0.52,0.62,0.66
0.41000000000000003,0.52,0.62,0.67
