p_BB_G,p_BW_G,p_WB_G,p_WW_G
0.31,1.0,1.0,0.34
0.31,1.0,1.0,0.35000000000000003
0.31,1.0,1.0,0.36
0.31,1.0,1.0,0.37
0.31,1.0,1.0,0.38
0.31,1.0,1.0,0.39
0.31,1.0,1.0,0.4
0.31,1.0,1.0,0.41000000000000003
0.31,1.0,1.0,0.42
0.31,1.0,1.0,0.43
0.31,1.0,1.0,0.44
0.31,1.0,1.0,0.45
0.31,1.0,1.0,0.46
0.31,1.0,1.0,0.47000000000000003
0.31,1.0,1.0,0.48
0.31,1.0,1.0,0.49
0.31,1.0,1.0,0.5
0.32,1.0,0.17,0.4
0.32,1.0,0.18,0.4
0.32,1.0,0.19,0.39
0.32,1.0,0.19,0.4
0.32,1.0,0.19,0.41000000000000003
0.32,1.0,0.2,0.38
0.32,1.0,0.2,0.39
0.32,1.0,0.2,0.4
0.32,1.0,0.2,0.41000000000000003
0.32,1.0,0.21,0.37
0.32,1.0,0.21,0.38
0.32,1.0,0.21,0.39
0.32,1.0,0.21,0.4
0.32,1.0,0.21,0.41000000000000003
0.32,1.0,0.21,0.42
0.32,1.0,0.22,0.36
0.32,1.0,0.22,0.37
0.32,1.0,0.22,0.38
0.32,1.0,0.22,0.39
0.32,1.0,0.22,0.4
0.32,1.0,0.22,0.41000000000000003
0.32,1.0,0.22,0.42
0.32,1.0,0.23,0.36
0.32,1.0,0.23,0.37
0.32,1.0,0.23,0.38
0.32,1.0,0.23,0.39
0.32,1.0,0.23,0.4
0.32,1.0,0.23,0.41000000000000003
0.32,1.0,0.23,0.42
0.32,1.0,0.23,0.43
0.32,1.0,0.24,0.35000000000000003
0.32,1.0,0.24,0.36
0.32,1.0,0.24,0.37
0.32,1.0,0.24,0.38
0.32,1.0,0.24,0.39
0.32,1.0,0.24,0.4
0.32,1.0,0.24,0.41000000000000003
0.32,1.0,0.24,0.42
0.32,1.0,0.24,0.43
0.32,1.0,0.25,0.34
0.32,1.0,0.25,0.35000000000000003
0.32,1.0,0.25,0.36
0.32,1.0,0.25,0.37
0.32,1.0,0.25,0.38
0.32,1.0,0.25,0.39
0.32,1.0,0.25,0.4
0.32,1.0,0.25,0.41000000000000003
0.32,1.0,0.25,0.42
0.32,1.0,0.25,0.43
0.32,1.0,0.25,0.44
0.32,1.0,0.26,0.34
0.32,1.0,0.26,0.35000000000000003
0.32,1.0,0.26,0.36
0.32,1.0,0.26,0.37
0.32,1.0,0.26,0.38
0.32,1.0,0.26,0.39
0.32,1.0,0.26,0.4
0.32,1.0,0.26,0.41000000000000003
0.32,1.0,0.26,0.42
0.32,1.0,0.26,0.43
0.32,1.0,0.26,0.44
0.32,1.0,0.26,0.45
0.32,1.0,0.27,0.34
0.32,1.0,0.27,0.35000000000000003
0.32,1.0,0.27,0.36
0.32,1.0,0.27,0.37
0.32,1.0,0.27,0.38
0.32,1.0,0.27,0.39
0.32,1.0,0.27,0.4
0.32,1.0,0.27,0.41000000000000003
0.32,1.0,0.27,0.42
0.32,1.0,0.27,0.43
0.32,1.0,0.27,0.44
0.32,1.0,0.27,0.45
0.32,1.0,0.28,0.34
0.32,1.0,0.28,0.35000000000000003
0.32,1.0,0.28,0.36
0.32,1.0,0.28,0.37
0.32,1.0,0.28,0.38
0.32,1.0,0.28,0.39
0.32,1.0,0.28,0.4
0.32,1.0,0.28,0.41000000000000003
0.32,1.0,0.28,0.42
0.32,1.0,0.28,0.43
0.32,1.0,0.28,0.44
0.32,1.0,0.28,0.45
0.32,1.0,0.28,0.46
0.32,1.0,0.29,0.34
0.32,1.0,0.29,0.35000000000000003
0.32,1.0,0.29,0.36
0.32,1.0,0.29,0.37
0.32,1.0,0.29,0.38
0.32,1.0,0.29,0.39
0.32,1.0,0.29,0.4
0.32,1.0,0.29,0.41000000000000003
0.32,1.0,0.29,0.42
0.32,1.0,0.29,0.43
0.32,1.0,0.29,0.44
0.32,1.0,0.29,0.45
0.32,1.0,0.29,0.46
0.32,1.0,0.3,0.34
0.32,1.0,0.3,0.35000000000000003
0.32,1.0,0.3,0.36
0.32,1.0,0.3,0.37
0.32,1.0,0.3,0.38
0.32,1.0,0.3,0.39
0.32,1.0,0.3,0.4
0.32,1.0,0.3,0.41000000000000003
0.32,1.0,0.3,0.42
0.32,1.0,0.3,0.43
0.32,1.0,0.3,0.44
0.32,1.0,0.3,0.45
0.32,1.0,0.3,0.46
0.32,1.0,0.3,0.47000000000000003
0.32,1.0,0.31,0.34
0.32,1.0,0.31,0.35000000000000003
0.32,1.0,0.31,0.36
0.32,1.0,0.31,0.37
0.32,1.0,0.31,0.38
0.32,1.0,0.31,0.39
0.32,1.0,0.31,0.4
0.32,1.0,0.31,0.41000000000000003
0.32,1.0,0.31,0.42
0.32,1.0,0.31,0.43
0.32,1.0,0.31,0.44
0.32,1.0,0.31,0.45
0.32,1.0,0.31,0.46
0.32,1.0,0.31,0.47000000000000003
0.32,1.0,0.31,0.48
0.32,1.0,0.32,0.34
0.32,1.0,0.32,0.35000000000000003
0.32,1.0,0.32,0.36
0.32,1.0,0.32,0.37
0.32,1.0,0.32,0.38
0.32,1.0,0.32,0.39
0.32,1.0,0.32,0.4
0.32,1.0,0.32,0.41000000000000003
0.32,1.0,0.32,0.42
0.32,1.0,0.32,0.43
0.32,1.0,0.32,0.44
0.32,1.0,0.32,0.45
0.32,1.0,0.32,0.46
0.32,1.0,0.32,0.47000000000000003
0.32,1.0,0.32,0.48
0.32,1.0,0.32,0.49
0.32,1.0,0.33,0.34
0.32,1.0,0.33,0.35000000000000003
0.32,1.0,0.33,0.36
0.32,1.0,0.33,0.37
0.32,1.0,0.33,0.38
0.32,1.0,0.33,0.39
0.32,1.0,0.33,0.4
0.32,1.0,0.33,0.41000000000000003
0.32,1.0,0.33,0.42
0.32,1.0,0.33,0.43
0.32,1.0,0.33,0.44
0.32,1.0,0.33,0.45
0.32,1.0,0.33,0.46
0.32,1.0,0.33,0.47000000000000003
0.32,1.0,0.33,0.48
0.32,1.0,0.33,0.49
0.32,1.0,0.34,0.34
0.32,1.0,0.34,0.35000000000000003
0.32,1.0,0.34,0.36
0.32,1.0,0.34,0.37
0.32,1.0,0.34,0.38
0.32,1.0,0.34,0.39
0.32,1.0,0.34,0.4
0.32,1.0,0.34,0.41000000000000003
0.32,1.0,0.34,0.42
0.32,1.0,0.34,0.43
0.32,1.0,0.34,0.44
0.32,1.0,0.34,0.45
0.32,1.0,0.34,0.46
0.32,1.0,0.34,0.47000000000000003
0.32,1.0,0.34,0.48
0.32,1.0,0.34,0.49
0.32,1.0,0.34,0.5
0.32,1.0,0.35000000000000003,0.34
0.32,1.0,0.35000000000000003,0.35000000000000003
0.32,1.0,0.35000000000000003,0.36
0.32,1.0,0.35000000000000003,0.37
0.32,1.0,0.35000000000000003,0.38
0.32,1.0,0.35000000000000003,0.39
0.32,1.0,0.35000000000000003,0.4
0.32,1.0,0.35000000000000003,0.41000000000000003
0.32,1.0,0.35000000000000003,0.42
0.32,1.0,0.35000000000000003,0.43
0.32,1.0,0.35000000000000003,0.44
0.32,1.0,0.35000000000000003,0.45
0.32,1.0,0.35000000000000003,0.46
0.32,1.0,0.35000000000000003,0.47000000000000003
0.32,1.0,0.35000000000000003,0.48
0.32,1.0,0.35000000000000003,0.49
0.32,1.0,0.35000000000000003,0.5
0.32,1.0,0.36,0.34
0.32,1.0,0.36,0.35000000000000003
0.32,1.0,0.36,0.36
0.32,1.0,0.36,0.37
0.32,1.0,0.36,0.38
0.32,1.0,0.36,0.39
0.32,1.0,0.36,0.4
0.32,1.0,0.36,0.41000000000000003
0.32,1.0,0.36,0.42
0.32,1.0,0.36,0.43
0.32,1.0,0.36,0.44
0.32,1.0,0.36,0.45
0.32,1.0,0.36,0.46
0.32,1.0,0.36,0.47000000000000003
0.32,1.0,0.36,0.48
0.32,1.0,0.36,0.49
0.32,1.0,0.36,0.5
0.32,1.0,0.37,0.34
0.32,1.0,0.37,0.35000000000000003
0.32,1.0,0.37,0.36
0.32,1.0,0.37,0.37
0.32,1.0,0.37,0.38
0.32,1.0,0.37,0.39
0.32,1.0,0.37,0.4
0.32,1.0,0.37,0.41000000000000003
0.32,1.0,0.37,0.42
0.32,1.0,0.37,0.43
0.32,1.0,0.37,0.44
0.32,1.0,0.37,0.45
0.32,1.0,0.37,0.46
0.32,1.0,0.37,0.47000000000000003
0.32,1.0,0.37,0.48
0.32,1.0,0.37,0.49
0.32,1.0,0.37,0.5
0.32,1.0,0.38,0.34
0.32,1.0,0.38,0.35000000000000003
0.32,1.0,0.38,0.36
0.32,1.0,0.38,0.37
0.32,1.0,0.38,0.38
0.32,1.0,0.38,0.39
0.32,1.0,0.38,0.4
0.32,1.0,0.38,0.41000000000000003
0.32,1.0,0.38,0.42
0.32,1.0,0.38,0.43
0.32,1.0,0.38,0.44
0.32,1.0,0.38,0.45
0.32,1.0,0.38,0.46
0.32,1.0,0.38,0.47000000000000003
0.32,1.0,0.38,0.48
0.32,1.0,0.38,0.49
0.32,1.0,0.38,0.5
0.32,1.0,0.39,0.34
0.32,1.0,0.39,0.35000000000000003
0.32,1.0,0.39,0.36
0.32,1.0,0.39,0.37
0.32,1.0,0.39,0.38
0.32,1.0,0.39,0.39
0.32,1.0,0.39,0.4
0.32,1.0,0.39,0.41000000000000003
0.32,1.0,0.39,0.42
0.32,1.0,0.39,0.43
0.32,1.0,0.39,0.44
0.32,1.0,0.39,0.45
0.32,1.0,0.39,0.46
0.32,1.0,0.39,0.47000000000000003
0.32,1.0,0.39,0.48
0.32,1.0,0.39,0.49
0.32,1.0,0.39,0.5
0.32,1.0,0.4,0.34
0.32,1.0,0.4,0.35000000000000003
0.32,1.0,0.4,0.36
0.32,1.0,0.4,0.37
0.32,1.0,0.4,0.38
0.32,1.0,0.4,0.39
0.32,1.0,0.4,0.4
0.32,1.0,0.4,0.41000000000000003
0.32,1.0,0.4,0.42
0.32,1.0,0.4,0.43
0.32,1.0,0.4,0.44
0.32,1.0,0.4,0.45
0.32,1.0,0.4,0.46
0.32,1.0,0.4,0.47000000000000003
0.32,1.0,0.4,0.48
0.32,1.0,0.4,0.49
0.32,1.0,0.4,0.5
0.32,1.0,0.41000000000000003,0.34
0.32,1.0,0.41000000000000003,0.35000000000000003
0.32,1.0,0.41000000000000003,0.36
0.32,1.0,0.41000000000000003,0.37
0.32,1.0,0.41000000000000003,0.38
0.32,1.0,0.41000000000000003,0.39
0.32,1.0,0.41000000000000003,0.4
0.32,1.0,0.41000000000000003,0.41000000000000003
0.32,1.0,0.41000000000000003,0.42
0.32,1.0,0.41000000000000003,0.43
0.32,1.0,0.41000000000000003,0.44
0.32,1.0,0.41000000000000003,0.45
0.32,1.0,0.41000000000000003,0.46
0.32,1.0,0.41000000000000003,0.47000000000000003
0.32,1.0,0.41000000000000003,0.48
0.32,1.0,0.41000000000000003,0.49
0.32,1.0,0.41000000000000003,0.5
0.32,1.0,0.42,0.34
0.32,1.0,0.42,0.35000000000000003
0.32,1.0,0.42,0.36
0.32,1.0,0.42,0.37
0.32,1.0,0.42,0.38
0.32,1.0,0.42,0.39
0.32,1.0,0.42,0.4
0.32,1.0,0.42,0.41000000000000003
0.32,1.0,0.42,0.42
0.32,1.0,0.42,0.43
0.32,1.0,0.42,0.44
0.32,1.0,0.42,0.45
0.32,1.0,0.42,0.46
0.32,1.0,0.42,0.47000000000000003
0.32,1.0,0.42,0.48
0.32,1.0,0.42,0.49
0.32,1.0,0.42,0.5
0.32,1.0,0.43,0.34
0.32,1.0,0.43,0.35000000000000003
0.32,1.0,0.43,0.36
0.32,1.0,0.43,0.37
0.32,1.0,0.43,0.38
0.32,1.0,0.43,0.39
0.32,1.0,0.43,0.4
0.32,1.0,0.43,0.41000000000000003
0.32,1.0,0.43,0.42
0.32,1.0,0.43,0.43
0.32,1.0,0.43,0.44
0.32,1.0,0.43,0.45
0.32,1.0,0.43,0.46
0.32,1.0,0.43,0.47000000000000003
0.32,1.0,0.43,0.48
0.32,1.0,0.43,0.49
0.32,1.0,0.43,0.5
0.32,1.0,0.44,0.34
0.32,1.0,0.44,0.35000000000000003
0.32,1.0,0.44,0.36
0.32,1.0,0.44,0.37
0.32,1.0,0.44,0.38
0.32,1.0,0.44,0.39
0.32,1.0,0.44,0.4
0.32,1.0,0.44,0.41000000000000003
0.32,1.0,0.44,0.42
0.32,1.0,0.44,0.43
0.32,1.0,0.44,0.44
0.32,1.0,0.44,0.45
0.32,1.0,0.44,0.46
0.32,1.0,0.44,0.47000000000000003
0.32,1.0,0.44,0.48
0.32,1.0,0.44,0.49
0.32,1.0,0.44,0.5
0.32,1.0,0.45,0.34
0.32,1.0,0.45,0.35000000000000003
0.32,1.0,0.45,0.36
0.32,1.0,0.45,0.37
0.32,1.0,0.45,0.38
0.32,1.0,0.45,0.39
0.32,1.0,0.45,0.4
0.32,1.0,0.45,0.41000000000000003
0.32,1.0,0.45,0.42
0.32,1.0,0.45,0.43
0.32,1.0,0.45,0.44
0.32,1.0,0.45,0.45
0.32,1.0,0.45,0.46
0.32,1.0,0.45,0.47000000000000003
0.32,1.0,0.45,0.48
0.32,1.0,0.45,0.49
0.32,1.0,0.45,0.5
0.32,1.0,0.46,0.34
0.32,1.0,0.46,0.35000000000000003
0.32,1.0,0.46,0.36
0.32,1.0,0.46,0.37
0.32,1.0,0.46,0.38
0.32,1.0,0.46,0.39
0.32,1.0,0.46,0.4
0.32,1.0,0.46,0.41000000000000003
0.32,1.0,0.46,0.42
0.32,1.0,0.46,0.43
0.32,1.0,0.46,0.44
0.32,1.0,0.46,0.45
0.32,1.0,0.46,0.46
0.32,1.0,0.46,0.47000000000000003
0.32,1.0,0.46,0.48
0.32,1.0,0.46,0.49
0.32,1.0,0.46,0.5
0.32,1.0,0.47000000000000003,0.34
0.32,1.0,0.47000000000000003,0.35000000000000003
0.32,1.0,0.47000000000000003,0.36
0.32,1.0,0.47000000000000003,0.37
0.32,1.0,0.47000000000000003,0.38
0.32,1.0,0.47000000000000003,0.39
0.32,1.0,0.47000000000000003,0.4
0.32,1.0,0.47000000000000003,0.41000000000000003
0.32,1.0,0.47000000000000003,0.42
0.32,1.0,0.47000000000000003,0.43
0.32,1.0,0.47000000000000003,0.44
0.32,1.0,0.47000000000000003,0.45
0.32,1.0,0.47000000000000003,0.46
0.32,1.0,0.47000000000000003,0.47000000000000003
0.32,1.0,0.47000000000000003,0.48
0.32,1.0,0.47000000000000003,0.49
0.32,1.0,0.47000000000000003,0.5
0.32,1.0,0.48,0.34
0.32,1.0,0.48,0.35000000000000003
0.32,1.0,0.48,0.36
0.32,1.0,0.48,0.37
0.32,1.0,0.48,0.38
0.32,1.0,0.48,0.39
0.32,1.0,0.48,0.4
0.32,1.0,0.48,0.41000000000000003
0.32,1.0,0.48,0.42
0.32,1.0,0.48,0.43
0.32,1.0,0.48,0.44
0.32,1.0,0.48,0.45
0.32,1.0,0.48,0.46
0.32,1.0,0.48,0.47000000000000003
0.32,1.0,0.48,0.48
0.32,1.0,0.48,0.49
0.32,1.0,0.48,0.5
0.32,1.0,0.49,0.34
0.32,1.0,0.49,0.35000000000000003
0.32,1.0,0.49,0.36
0.32,1.0,0.49,0.37
0.32,1.0,0.49,0.38
0.32,1.0,0.49,0.39
0.32,1.0,0.49,0.4
0.32,1.0,0.49,0.41000000000000003
0.32,1.0,0.49,0.42
0.32,1.0,0.49,0.43
0.32,1.0,0.49,0.44
0.32,1.0,0.49,0.45
0.32,1.0,0.49,0.46
0.32,1.0,0.49,0.47000000000000003
0.32,1.0,0.49,0.48
0.32,1.0,0.49,0.49
0.32,1.0,0.49,0.5
0.32,1.0,0.5,0.34
0.32,1.0,0.5,0.35000000000000003
0.32,1.0,0.5,0.36
0.32,1.0,0.5,0.37
0.32,1.0,0.5,0.38
0.32,1.0,0.5,0.39
0.32,1.0,0.5,0.4
0.32,1.0,0.5,0.41000000000000003
0.32,1.0,0.5,0.42
0.32,1.0,0.5,0.43
0.32,1.0,0.5,0.44
0.32,1.0,0.5,0.45
0.32,1.0,0.5,0.46
0.32,1.0,0.5,0.47000000000000003
0.32,1.0,0.5,0.48
0.32,1.0,0.5,0.49
0.32,1.0,0.5,0.5
0.32,1.0,0.51,0.34
0.32,1.0,0.51,0.35000000000000003
0.32,1.0,0.51,0.36
0.32,1.0,0.51,0.37
0.32,1.0,0.51,0.38
0.32,1.0,0.51,0.39
0.32,1.0,0.51,0.4
0.32,1.0,0.51,0.41000000000000003
0.32,1.0,0.51,0.42
0.32,1.0,0.51,0.43
0.32,1.0,0.51,0.44
0.32,1.0,0.51,0.45
0.32,1.0,0.51,0.46
0.32,1.0,0.51,0.47000000000000003
0.32,1.0,0.51,0.48
0.32,1.0,0.51,0.49
0.32,1.0,0.51,0.5
0.32,1.0,0.52,0.34
0.32,1.0,0.52,0.35000000000000003
0.32,1.0,0.52,0.36
0.32,1.0,0.52,0.37
0.32,1.0,0.52,0.38
0.32,1.0,0.52,0.39
0.32,1.0,0.52,0.4
0.32,1.0,0.52,0.41000000000000003
0.32,1.0,0.52,0.42
0.32,1.0,0.52,0.43
0.32,1.0,0.52,0.44
0.32,1.0,0.52,0.45
0.32,1.0,0.52,0.46
0.32,1.0,0.52,0.47000000000000003
0.32,1.0,0.52,0.48
0.32,1.0,0.52,0.49
0.32,1.0,0.52,0.5
0.32,1.0,0.53,0.34
0.32,1.0,0.53,0.35000000000000003
0.32,1.0,0.53,0.36
0.32,1.0,0.53,0.37
0.32,1.0,0.53,0.38
0.32,1.0,0.53,0.39
0.32,1.0,0.53,0.4
0.32,1.0,0.53,0.41000000000000003
0.32,1.0,0.53,0.42
0.32,1.0,0.53,0.43
0.32,1.0,0.53,0.44
0.32,1.0,0.53,0.45
0.32,1.0,0.53,0.46
0.32,1.0,0.53,0.47000000000000003
0.32,1.0,0.53,0.48
0.32,1.0,0.53,0.49
0.32,1.0,0.53,0.5
0.32,1.0,0.54,0.34
0.32,1.0,0.54,0.35000000000000003
0.32,1.0,0.54,0.36
0.32,1.0,0.54,0.37
0.32,1.0,0.54,0.38
0.32,1.0,0.54,0.39
0.32,1.0,0.54,0.4
0.32,1.0,0.54,0.41000000000000003
0.32,1.0,0.54,0.42
0.32,1.0,0.54,0.43
0.32,1.0,0.54,0.44
0.32,1.0,0.54,0.45
0.32,1.0,0.54,0.46
0.32,1.0,0.54,0.47000000000000003
0.32,1.0,0.54,0.48
0.32,1.0,0.54,0.49
0.32,1.0,0.54,0.5
0.32,1.0,0.55,0.34
0.32,1.0,0.55,0.35000000000000003
0.32,1.0,0.55,0.36
0.32,1.0,0.55,0.37
0.32,1.0,0.55,0.38
0.32,1.0,0.55,0.39
0.32,1.0,0.55,0.4
0.32,1.0,0.55,0.41000000000000003
0.32,1.0,0.55,0.42
0.32,1.0,0.55,0.43
0.32,1.0,0.55,0.44
0.32,1.0,0.55,0.45
0.32,1.0,0.55,0.46
0.32,1.0,0.55,0.47000000000000003
0.32,1.0,0.55,0.48
0.32,1.0,0.55,0.49
0.32,1.0,0.55,0.5
0.32,1.0,0.56,0.34
0.32,1.0,0.56,0.35000000000000003
0.32,1.0,0.56,0.36
0.32,1.0,0.56,0.37
0.32,1.0,0.56,0.38
0.32,1.0,0.56,0.39
0.32,1.0,0.56,0.4
0.32,1.0,0.56,0.41000000000000003
0.32,1.0,0.56,0.42
0.32,1.0,0.56,0.43
0.32,1.0,0.56,0.44
0.32,1.0,0.56,0.45
0.32,1.0,0.56,0.46
0.32,1.0,0.56,0.47000000000000003
0.32,1.0,0.56,0.48
0.32,1.0,0.56,0.49
0.32,1.0,0.56,0.5
0.32,1.0,0.5700000000000001,0.34
0.32,1.0,0.5700000000000001,0.35000000000000003
0.32,1.0,0.5700000000000001,0.36
0.32,1.0,0.5700000000000001,0.37
0.32,1.0,0.5700000000000001,0.38
0.32,1.0,0.5700000000000001,0.39
0.32,1.0,0.5700000000000001,0.4
0.32,1.0,0.5700000000000001,0.41000000000000003
0.32,1.0,0.5700000000000001,0.42
0.32,1.0,0.5700000000000001,0.43
0.32,1.0,0.5700000000000001,0.44
0.32,1.0,0.5700000000000001,0.45
0.32,1.0,0.5700000000000001,0.46
0.32,1.0,0.5700000000000001,0.47000000000000003
0.32,1.0,0.5700000000000001,0.48
0.32,1.0,0.5700000000000001,0.49
0.32,1.0,0.5700000000000001,0.5
0.32,1.0,0.58,0.34
0.32,1.0,0.58,0.35000000000000003
0.32,1.0,0.58,0.36
0.32,1.0,0.58,0.37
0.32,1.0,0.58,0.38
0.32,1.0,0.58,0.39
0.32,1.0,0.58,0.4
0.32,1.0,0.58,0.41000000000000003
0.32,1.0,0.58,0.42
0.32,1.0,0.58,0.43
0.32,1.0,0.58,0.44
0.32,1.0,0.58,0.45
0.32,1.0,0.58,0.46
0.32,1.0,0.58,0.47000000000000003
0.32,1.0,0.58,0.48
0.32,1.0,0.58,0.49
0.32,1.0,0.58,0.5
0.32,1.0,0.59,0.34
0.32,1.0,0.59,0.35000000000000003
0.32,1.0,0.59,0.36
0.32,1.0,0.59,0.37
0.32,1.0,0.59,0.38
0.32,1.0,0.59,0.39
0.32,1.0,0.59,0.4
0.32,1.0,0.59,0.41000000000000003
0.32,1.0,0.59,0.42
0.32,1.0,0.59,0.43
0.32,1.0,0.59,0.44
0.32,1.0,0.59,0.45
0.32,1.0,0.59,0.46
0.32,1.0,0.59,0.47000000000000003
0.32,1.0,0.59,0.48
0.32,1.0,0.59,0.49
0.32,1.0,0.59,0.5
0.32,1.0,0.6,0.34
0.32,1.0,0.6,0.35000000000000003
0.32,1.0,0.6,0.36
0.32,1.0,0.6,0.37
0.32,1.0,0.6,0.38
0.32,1.0,0.6,0.39
0.32,1.0,0.6,0.4
0.32,1.0,0.6,0.41000000000000003
0.32,1.0,0.6,0.42
0.32,1.0,0.6,0.43
0.32,1.0,0.6,0.44
0.32,1.0,0.6,0.45
0.32,1.0,0.6,0.46
0.32,1.0,0.6,0.47000000000000003
0.32,1.0,0.6,0.48
0.32,1.0,0.6,0.49
0.32,1.0,0.6,0.5
0.32,1.0,0.61,0.34
0.32,1.0,0.61,0.35000000000000003
0.32,1.0,0.61,0.36
0.32,1.0,0.61,0.37
0.32,1.0,0.61,0.38
0.32,1.0,0.61,0.39
0.32,1.0,0.61,0.4
0.32,1.0,0.61,0.41000000000000003
0.32,1.0,0.61,0.42
0.32,1.0,0.61,0.43
0.32,1.0,0.61,0.44
0.32,1.0,0.61,0.45
0.32,1.0,0.61,0.46
0.32,1.0,0.61,0.47000000000000003
0.32,1.0,0.61,0.48
0.32,1.0,0.61,0.49
0.32,1.0,0.61,0.5
0.32,1.0,0.62,0.34
0.32,1.0,0.62,0.35000000000000003
0.32,1.0,0.62,0.36
0.32,1.0,0.62,0.37
0.32,1.0,0.62,0.38
0.32,1.0,0.62,0.39
0.32,1.0,0.62,0.4
0.32,1.0,0.62,0.41000000000000003
0.32,1.0,0.62,0.42
0.32,1.0,0.62,0.43
0.32,1.0,0.62,0.44
0.32,1.0,0.62,0.45
0.32,1.0,0.62,0.46
0.32,1.0,0.62,0.47000000000000003
0.32,1.0,0.62,0.48
0.32,1.0,0.62,0.49
0.32,1.0,0.62,0.5
0.32,1.0,0.63,0.34
0.32,1.0,0.63,0.35000000000000003
0.32,1.0,0.63,0.36
0.32,1.0,0.63,0.37
0.32,1.0,0.63,0.38
0.32,1.0,0.63,0.39
0.32,1.0,0.63,0.4
0.32,1.0,0.63,0.41000000000000003
0.32,1.0,0.63,0.42
0.32,1.0,0.63,0.43
0.32,1.0,0.63,0.44
0.32,1.0,0.63,0.45
0.32,1.0,0.63,0.46
0.32,1.0,0.63,0.47000000000000003
0.32,1.0,0.63,0.48
0.32,1.0,0.63,0.49
0.32,1.0,0.63,0.5
0.32,1.0,0.64,0.34
0.32,1.0,0.64,0.35000000000000003
0.32,1.0,0.64,0.36
0.32,1.0,0.64,0.37
0.32,1.0,0.64,0.38
0.32,1.0,0.64,0.39
0.32,1.0,0.64,0.4
0.32,1.0,0.64,0.41000000000000003
0.32,1.0,0.64,0.42
0.32,1.0,0.64,0.43
0.32,1.0,0.64,0.44
0.32,1.0,0.64,0.45
0.32,1.0,0.64,0.46
0.32,1.0,0.64,0.47000000000000003
0.32,1.0,0.64,0.48
0.32,1.0,0.64,0.49
0.32,1.0,0.64,0.5
0.32,1.0,0.65,0.34
0.32,1.0,0.65,0.35000000000000003
0.32,1.0,0.65,0.36
0.32,1.0,0.65,0.37
0.32,1.0,0.65,0.38
0.32,1.0,0.65,0.39
0.32,1.0,0.65,0.4
0.32,1.0,0.65,0.41000000000000003
0.32,1.0,0.65,0.42
0.32,1.0,0.65,0.43
0.32,1.0,0.65,0.44
0.32,1.0,0.65,0.45
0.32,1.0,0.65,0.46
0.32,1.0,0.65,0.47000000000000003
0.32,1.0,0.65,0.48
0.32,1.0,0.65,0.49
0.32,1.0,0.65,0.5
0.32,1.0,0.66,0.34
0.32,1.0,0.66,0.35000000000000003
0.32,1.0,0.66,0.36
0.32,1.0,0.66,0.37
0.32,1.0,0.66,0.38
0.32,1.0,0.66,0.39
0.32,1.0,0.66,0.4
0.32,1.0,0.66,0.41000000000000003
0.32,1.0,0.66,0.42
0.32,1.0,0.66,0.43
0.32,1.0,0.66,0.44
0.32,1.0,0.66,0.45
0.32,1.0,0.66,0.46
0.32,1.0,0.66,0.47000000000000003
0.32,1.0,0.66,0.48
0.32,1.0,0.66,0.49
0.32,1.0,0.66,0.5
0.32,1.0,0.67,0.34
0.32,1.0,0.67,0.35000000000000003
0.32,1.0,0.67,0.36
0.32,1.0,0.67,0.37
0.32,1.0,0.67,0.38
0.32,1.0,0.67,0.39
0.32,1.0,0.67,0.4
0.32,1.0,0.67,0.41000000000000003
0.32,1.0,0.67,0.42
0.32,1.0,0.67,0.43
0.32,1.0,0.67,0.44
0.32,1.0,0.67,0.45
0.32,1.0,0.67,0.46
0.32,1.0,0.67,0.47000000000000003
0.32,1.0,0.67,0.48
0.32,1.0,0.67,0.49
0.32,1.0,0.67,0.5
0.32,1.0,0.68,0.34
0.32,1.0,0.68,0.35000000000000003
0.32,1.0,0.68,0.36
0.32,1.0,0.68,0.37
0.32,1.0,0.68,0.38
0.32,1.0,0.68,0.39
0.32,1.0,0.68,0.4
0.32,1.0,0.68,0.41000000000000003
0.32,1.0,0.68,0.42
0.32,1.0,0.68,0.43
0.32,1.0,0.68,0.44
0.32,1.0,0.68,0.45
0.32,1.0,0.68,0.46
0.32,1.0,0.68,0.47000000000000003
0.32,1.0,0.68,0.48
0.32,1.0,0.68,0.49
0.32,1.0,0.68,0.5
0.32,1.0,0.6900000000000001,0.34
0.32,1.0,0.6900000000000001,0.35000000000000003
0.32,1.0,0.6900000000000001,0.36
0.32,1.0,0.6900000000000001,0.37
0.32,1.0,0.6900000000000001,0.38
0.32,1.0,0.6900000000000001,0.39
0.32,1.0,0.6900000000000001,0.4
0.32,1.0,0.6900000000000001,0.41000000000000003
0.32,1.0,0.6900000000000001,0.42
0.32,1.0,0.6900000000000001,0.43
0.32,1.0,0.6900000000000001,0.44
0.32,1.0,0.6900000000000001,0.45
0.32,1.0,0.6900000000000001,0.46
0.32,1.0,0.6900000000000001,0.47000000000000003
0.32,1.0,0.6900000000000001,0.48
0.32,1.0,0.6900000000000001,0.49
0.32,1.0,0.6900000000000001,0.5
0.32,1.0,0.7000000000000001,0.34
0.32,1.0,0.7000000000000001,0.35000000000000003
0.32,1.0,0.7000000000000001,0.36
0.32,1.0,0.7000000000000001,0.37
0.32,1.0,0.7000000000000001,0.38
0.32,1.0,0.7000000000000001,0.39
0.32,1.0,0.7000000000000001,0.4
0.32,1.0,0.7000000000000001,0.41000000000000003
0.32,1.0,0.7000000000000001,0.42
